Billion,iso3,population,Share_N,Share_perc
UHC,GRC,10261734,954265.8907934651,9.3
UHC,GRD,113903,12086.178979085596,10.61
UHC,GTM,18917714,2396011.7371053696,12.67
UHC,GUY,797711,98625.95535204351,12.36
UHC,HND,10379104,1118187.0887168846,10.77
UHC,HRV,4037691,271317.2298500897,6.72
UHC,HTI,11817963,1805079.0871941962,15.27
UHC,HUN,9576767,961179.2113595092,10.04
UHC,IDN,281844348,39311342.88987105,13.95
UHC,IND,1419655800,225922641.80374044,15.91
UHC,IRL,5051614,240643.42593963942,4.76
UHC,IRN,86975821,12097308.84748311,13.91
UHC,IRQ,43170808,6668589.781975207,15.45
UHC,ISL,347380,25509.424294729728,7.34
UHC,ISR,9055151,482265.34003860556,5.33
UHC,ITA,60147515,4449939.390695861,7.4
UHC,JAM,2995999,413071.19647612,13.79
UHC,JOR,10312321,985785.921772805,9.56
UHC,JPN,125081316,5090346.420053369,4.07
UHC,KAZ,19407012,1479986.0184525745,7.63
UHC,KEN,57458890,7661176.35422369,13.33
UHC,KGZ,6824517,522676.8295085669,7.66
UHC,KHM,17385668,2409370.625508916,13.86
UHC,KIR,125501,14162.23223053129,11.28
UHC,KNA,54175,6931.123594098769,12.79
UHC,KOR,51343973,4683878.7127955835,9.12
UHC,KWT,4427849,418137.9403987446,9.44
UHC,LAO,7580608,1105989.587495902,14.59
UHC,LBN,6585116,798460.3062399828,12.13
UHC,LBR,5432272,674336.8441649997,12.41
UHC,LBY,7118656,862516.1021363351,12.12
UHC,LCA,185771,23704.2694116122,12.76
UHC,LKA,21648987,2647607.2868276443,12.23
UHC,LSO,2192400,359380.90384316596,16.39
UHC,LTU,2636852,237494.78707609448,9.01
UHC,LUX,648973,30460.240060810276,4.69
UHC,LVA,1831650,177066.5909087044,9.67
UHC,MAR,38193551,5953470.753635786,15.59
UHC,MCO,40042,2856.2933333922933,7.13
UHC,MDA,4001345,408875.5855945088,10.22
UHC,MDG,29942591,3739941.3582872436,12.49
UHC,MDV,534669,42765.47838907937,8
UHC,MEX,132833768,13192760.814096732,9.93
UHC,MHL,60520,8214.311861030257,13.57
UHC,MKD,2079337,193836.06639015136,9.32
UHC,MLI,22105727,2801718.0769110066,12.67
UHC,MLT,445228,40675.869111354565,9.14
UHC,MMR,55663658,9445126.078763284,16.97
UHC,MNE,627766,50243.54479270086,8
UHC,MNG,3424876,325888.77413900825,9.52
UHC,MOZ,34034812,3987385.4965090826,11.72
